2023-05-26-16-52: epoch: 27 |tot 7.132719 | hm 1.059795 | wh 1.531922 | reg 0.219974 | dep 1.563382 | dep_sec 1.475847 | dim 0.238197 | rot 0.624444 | rot_sec 0.595177 | amodel_offset 0.786906 | nuscenes_att 0.165971 | velocity 0.249834 | time 103.200000 | tot 7.640940 | hm 1.101211 | wh 1.920926 | reg 0.226056 | dep 1.464898 | dep_sec 1.471459 | dim 0.210248 | rot 0.889874 | rot_sec 0.856348 | amodel_offset 0.842052 | nuscenes_att 0.188162 | velocity 0.198540 | time 1.983333 | 
2023-05-26-18-37: epoch: 28 |tot 7.094808 | hm 1.056107 | wh 1.521789 | reg 0.219670 | dep 1.560171 | dep_sec 1.468080 | dim 0.237243 | rot 0.616936 | rot_sec 0.587581 | amodel_offset 0.784014 | nuscenes_att 0.163849 | velocity 0.248978 | time 102.816667 | tot 7.821550 | hm 1.097091 | wh 1.841513 | reg 0.226818 | dep 1.493346 | dep_sec 1.500018 | dim 0.195904 | rot 0.919796 | rot_sec 0.898285 | amodel_offset 0.907038 | nuscenes_att 0.200871 | velocity 0.198231 | time 1.966667 | 
2023-05-26-20-23: epoch: 29 |tot 7.080886 | hm 1.056433 | wh 1.526513 | reg 0.219863 | dep 1.552747 | dep_sec 1.466858 | dim 0.237145 | rot 0.613828 | rot_sec 0.584573 | amodel_offset 0.784616 | nuscenes_att 0.163015 | velocity 0.249156 | time 103.066667 | tot 7.807484 | hm 1.100464 | wh 1.873277 | reg 0.226411 | dep 1.509748 | dep_sec 1.520393 | dim 0.202391 | rot 0.894601 | rot_sec 0.870770 | amodel_offset 0.895763 | nuscenes_att 0.195083 | velocity 0.204532 | time 2.000000 | 
2023-05-26-22-08: epoch: 30 |tot 7.043521 | hm 1.055095 | wh 1.523505 | reg 0.219774 | dep 1.546691 | dep_sec 1.454214 | dim 0.236514 | rot 0.609914 | rot_sec 0.580389 | amodel_offset 0.780379 | nuscenes_att 0.161336 | velocity 0.246865 | time 103.233333 | tot 7.912496 | hm 1.110794 | wh 1.813743 | reg 0.226868 | dep 1.522446 | dep_sec 1.528877 | dim 0.199422 | rot 0.920366 | rot_sec 0.895526 | amodel_offset 0.925805 | nuscenes_att 0.200679 | velocity 0.200339 | time 1.966667 | 
2023-05-26-23-54: epoch: 31 |tot 7.008850 | hm 1.054607 | wh 1.513952 | reg 0.219716 | dep 1.539673 | dep_sec 1.441930 | dim 0.236410 | rot 0.603609 | rot_sec 0.573877 | amodel_offset 0.781222 | nuscenes_att 0.160591 | velocity 0.245820 | time 103.000000 | tot 7.777443 | hm 1.107383 | wh 1.874105 | reg 0.227585 | dep 1.464238 | dep_sec 1.514677 | dim 0.202435 | rot 0.911175 | rot_sec 0.870799 | amodel_offset 0.890725 | nuscenes_att 0.205139 | velocity 0.195876 | time 1.983333 | 
2023-05-27-01-39: epoch: 32 |tot 6.983413 | hm 1.051889 | wh 1.520090 | reg 0.219688 | dep 1.533553 | dep_sec 1.434917 | dim 0.236085 | rot 0.598296 | rot_sec 0.567868 | amodel_offset 0.783623 | nuscenes_att 0.159249 | velocity 0.246234 | time 103.066667 | tot 7.786197 | hm 1.109998 | wh 1.797222 | reg 0.227949 | dep 1.494811 | dep_sec 1.515791 | dim 0.201181 | rot 0.915137 | rot_sec 0.880749 | amodel_offset 0.855752 | nuscenes_att 0.208241 | velocity 0.196865 | time 1.983333 | 
2023-05-27-03-25: epoch: 33 |tot 6.945852 | hm 1.049792 | wh 1.512020 | reg 0.219669 | dep 1.522342 | dep_sec 1.427992 | dim 0.235957 | rot 0.594265 | rot_sec 0.564133 | amodel_offset 0.777795 | nuscenes_att 0.157994 | velocity 0.244710 | time 103.316667 | tot 7.747538 | hm 1.106178 | wh 1.852133 | reg 0.225131 | dep 1.431309 | dep_sec 1.481669 | dim 0.209775 | rot 0.909688 | rot_sec 0.884296 | amodel_offset 0.901095 | nuscenes_att 0.207759 | velocity 0.205424 | time 2.000000 | 
2023-05-27-05-10: epoch: 34 |tot 6.930473 | hm 1.049489 | wh 1.511723 | reg 0.219356 | dep 1.520673 | dep_sec 1.424012 | dim 0.235578 | rot 0.589758 | rot_sec 0.560248 | amodel_offset 0.778808 | nuscenes_att 0.157708 | velocity 0.243672 | time 102.866667 | tot 7.611092 | hm 1.106842 | wh 1.765160 | reg 0.226830 | dep 1.452877 | dep_sec 1.444662 | dim 0.194845 | rot 0.910809 | rot_sec 0.887282 | amodel_offset 0.828130 | nuscenes_att 0.189218 | velocity 0.193080 | time 1.983333 | 
2023-05-27-06-56: epoch: 35 |tot 6.920175 | hm 1.049577 | wh 1.513125 | reg 0.219568 | dep 1.517318 | dep_sec 1.422492 | dim 0.235497 | rot 0.585783 | rot_sec 0.556036 | amodel_offset 0.782458 | nuscenes_att 0.156854 | velocity 0.243279 | time 103.100000 | tot 7.633553 | hm 1.088492 | wh 1.803397 | reg 0.226271 | dep 1.435359 | dep_sec 1.441160 | dim 0.202790 | rot 0.909854 | rot_sec 0.875585 | amodel_offset 0.880501 | nuscenes_att 0.192372 | velocity 0.200827 | time 1.966667 | 
2023-05-27-08-41: epoch: 36 |tot 6.867435 | hm 1.045970 | wh 1.504223 | reg 0.219587 | dep 1.507099 | dep_sec 1.404683 | dim 0.234819 | rot 0.581063 | rot_sec 0.550899 | amodel_offset 0.775505 | nuscenes_att 0.154909 | velocity 0.242479 | time 102.850000 | tot 7.868028 | hm 1.099436 | wh 1.804525 | reg 0.227243 | dep 1.485115 | dep_sec 1.524210 | dim 0.197936 | rot 0.954556 | rot_sec 0.938575 | amodel_offset 0.866859 | nuscenes_att 0.195693 | velocity 0.197953 | time 1.983333 | 
